"Species" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL"
"Geospiza prosthemelas prosthemelas" 111 58 42 6.3 8 5.5 11 7 19
"Geospiza prosthemelas prosthemelas" 116 60.5 33.5 6.5 7 5.5 11.5 7 19.5
"Geospiza prosthemelas prosthemelas" 111 61 37 6 7 5.3 10.5 6.5 20
"Geospiza prosthemelas prosthemelas" 110 61 37 6.5 8.5 5.3 10.5 7 19
"Geospiza fuliginosa parvula" 112 62 42 6.7 8.7 6 12 8 18.3
"Geospiza fuliginosa parvula" 115 65 46 6.5 8.5 6.5 13 8 19
"Geospiza fuliginosa parvula" 112 62 38.5 6.5 8 6 12.5 8.5 18
"Geospiza fuliginosa parvula" 110 63 42 6.7 9 7.3 13.3 9 19
"Geospiza fuliginosa parvula" 110 64 46 7 8.5 7 14 9 18.5
"Geospiza fuliginosa parvula" 115 63 41 6.5 9 6.7 13 9 18.5
"Geospiza fuliginosa parvula" 105 63 41 6.7 8.7 6 12 8.5 18
"Geospiza fuliginosa parvula" 120 65 48 7 8.3 6.7 13.5 8.5 20
"Geospiza fuliginosa parvula" 111 63 38 7 10 6.5 12.5 8 19
"Geospiza fuliginosa parvula" 120 65 40 7 9.5 6.5 13.5 8.3 19
"Geospiza fuliginosa parvula" 120 61 44 6.7 8.3 6.5 13 8.3 18.7
"Geospiza fuliginosa parvula" 120 63 42 6.7 8.3 7 13 8.3 19
"Geospiza fuliginosa parvula" 112 62 44 7 9 6.3 12.7 8 20
"Geospiza fuliginosa parvula" 112 64 45 7 9 6.3 13.5 8.5 18
"Geospiza fuliginosa parvula" 115 63 42.5 7 8.5 6.5 12.7 8 19.7
"Geospiza fuliginosa parvula" 112 64 42 6.5 8.5 7 12 7.5 19.5
"Geospiza fuliginosa parvula" 126 62 45 7 8.5 7 14 9 20
"Geospiza fuliginosa parvula" 122 64 38.5 7 9 7 13 9 19
"Geospiza fuliginosa parvula" 116 64 43 7 8 7 13.5 8.3 20
"Geospiza fuliginosa parvula" 113 64 41 7 9 6.5 13 8.3 19
"Geospiza fuliginosa parvula" 122 64 39 8 10 7 13 8.5 17.5
"Geospiza fuliginosa parvula" 112 65 37.5 7.5 8.5 7.5 13.5 9 20.5
"Geospiza fuliginosa parvula" 122 62 40 7 9.7 6.7 13.5 8.5 18
"Geospiza fuliginosa parvula" 112 62 39 6.7 8.5 6.3 13 9 19.3
"Geospiza fuliginosa parvula" 118 64.5 39 7 9 6.5 12 7.5 18
"Geospiza fuliginosa parvula" 120 63.5 38 7 9.5 6.5 12.5 8.5 19
"Geospiza fuliginosa parvula" 114 63 40 6.3 8.3 6.5 12.5 8 18.7
"Geospiza fuliginosa parvula" 114 60 42 6.7 9 7 13 8.5 19
"Geospiza fuliginosa parvula" 110 59.5 47 6.7 8.5 6 12 7.5 18.5
"Geospiza fuliginosa parvula" 112 61 45 6.5 8.7 6.3 13 8 19.5
"Geospiza fuliginosa parvula" 115 61 44 6.5 9.7 7 12.5 8 18.5
"Geospiza fuliginosa parvula" 125 62 39 6.7 8.3 6.5 13.5 8.3 19
"Geospiza fuliginosa parvula" 118 61.5 35 6.5 8 6.5 12.5 7.5 19
"Geospiza fuliginosa parvula" 108 69 39 6.5 8 6.5 12 9 17
"Geospiza fuliginosa parvula" 112 59 34 7 8 6.5 12.5 8 19.5
"Geospiza fuliginosa parvula" 112 59 36.5 6.5 8.7 6.3 13 8 19
"Geospiza fuliginosa parvula" 110 61 38.5 6.5 8.5 6 13 8 19.5
"Geospiza fuliginosa parvula" 112 62 44 7 8.7 6.7 13 8 19.5
"Geospiza fuliginosa parvula" 112 61 42 6.5 8 7 12.5 8.5 19
"Geospiza fuliginosa parvula" 110 59 39 6.5 8 6 11.5 8 19
"Geospiza fuliginosa parvula" 111 59 35 7 8.5 6.5 12 8 18
"Geospiza fuliginosa parvula" 115 62 40 7 8.5 6.5 11.5 8 17.5
"Geospiza fuliginosa parvula" 123 62 38 6.7 8.5 6.5 13 8 19
"Geospiza fuliginosa parvula" 115 60 39 6.5 7.7 6.5 12 8 18
"Geospiza fuliginosa parvula" 115 61 38 6.5 8.5 6.5 12 8 18
"Geospiza fuliginosa parvula" 115 60 38 6.5 8.5 6.3 13 8 18.5
"Geospiza fuliginosa parvula" 112 58.5 36.5 6 8.5 6.5 13.5 8 18
"Geospiza fuliginosa parvula" 122 62 44 6.7 8.7 6.5 13 8.3 18.5
"Geospiza fuliginosa parvula" 113 62 40 6.7 9 6.7 13.3 8.3 19.5
"Geospiza fuliginosa parvula" 109 64 40 6.5 8.5 6.3 12.5 8 19
"Geospiza fuliginosa parvula" 128 64 41 7 9 6.5 13.5 8.5 19.7
"Geospiza fuliginosa parvula" 122 62 44 6.5 9.5 6 13 8 18
"Geospiza fuliginosa parvula" 116 65 42.5 7 8.5 6.5 12.5 8 19
"Geospiza fuliginosa parvula" 111 62 39.5 7 8.5 6 12 7.5 18
"Geospiza fuliginosa parvula" 114 63 37.5 6.5 8 6 12.5 8 18.5
"Geospiza fuliginosa parvula" 133 62 40 6.7 9 6.5 12.5 8 19
"Geospiza fuliginosa parvula" 118 65.5 40 7 9 6 12.3 8 19
"Geospiza fuliginosa parvula" 117 64 40 7 8.5 6.5 13 8.5 20
"Geospiza fuliginosa parvula" 115 63 42.5 6.5 8.5 6.3 12 8 19
"Geospiza fuliginosa parvula" 120 62.5 38 6.5 8.5 6 12 7.3 18.3
"Geospiza fuliginosa parvula" 108 59 35 7 7.5 6.5 13 8.3 18.5
"Geospiza fuliginosa parvula" 110 60 37 6 8 6 12.5 7 19
"Geospiza fuliginosa parvula" 118 62 40 6.7 8.7 6.5 12.5 8 19
"Geospiza fuliginosa parvula" 111 60 44 6.3 8.3 6 12 8 18.3
"Geospiza fuliginosa parvula" 120 63.5 40 7 8.5 7 13 8.3 18
"Geospiza fuliginosa parvula" 110 62 38 7 9 7 13 8.5 19.7
"Geospiza fuliginosa parvula" 107 66 45 7 8.3 6.5 13.5 8 21
"Geospiza fuliginosa parvula" 115 64 43 7 8.5 6.3 12.7 8.7 20
"Geospiza fuliginosa parvula" 119 63 39.5 6.7 8.5 6.3 12.3 8 20
"Geospiza fuliginosa parvula" 116 64 44.3 6.7 8.5 6.7 13 9 19
"Geospiza fuliginosa parvula" 123 64 39 6.7 8.5 7 12.7 8.5 18
"Geospiza fuliginosa parvula" 126 63.5 41 6 8 6.5 12.3 8 19
"Geospiza fuliginosa parvula" 115 63 37 7 8.5 7.5 13 8.5 19
"Geospiza fuliginosa parvula" 119 63 41 6.5 8.7 6.7 13 8 19
"Geospiza fuliginosa parvula" 117 60 43 7 8.5 6.5 12.5 8 18
"Geospiza fuliginosa parvula" 107 60 40 6 8 6.7 13 8 20.5
"Geospiza fuliginosa parvula" 114 60 38 6 8.7 6.7 12.5 8 18.5
"Geospiza fuliginosa parvula" 110 62 39.5 7 9 6.3 13 8 19
"Geospiza fuliginosa parvula" 107 60 40 6.7 8.5 6.3 12.3 8 19
"Geospiza fuliginosa parvula" 115 61 34.5 6.5 8.5 6.5 12.5 8.5 20
"Geospiza fuliginosa parvula" 115 57.5 37.5 6.5 8.3 6.5 12.5 8.5 18.5
"Geospiza fortis fortis" 137 73 49 9.5 13 8.5 17 11.5 21
"Geospiza fortis fortis" 138 75 49 9.7 14 10 18.5 12 21
"Geospiza fortis fortis" 125 68 48 9.7 12.5 9 17.5 12 20.5
"Geospiza fortis fortis" 132 70 42 9.5 13 8.5 16.5 11 20.5
"Geospiza fortis fortis" 131 71 49 10 13.5 8.5 17 11.5 21
"Geospiza fortis fortis" 135 72 42.5 10.3 14.5 9.5 18 12 23
"Geospiza fortis fortis" 142 74 44 9.5 13.3 9 17 12 22
"Geospiza fortis fortis" 140 75 44 10.3 13.5 9.5 18 12.5 22.5
"Geospiza fortis fortis" 115 71 41 9.7 13 9.7 17.7 12 22
"Geospiza fortis fortis" 127 70 43 9.5 12 9 17.5 12 21.5
"Geospiza fortis fortis" 117 66 39 8.3 11 8 16 10.5 20
"Geospiza fortis fortis" 138 71 42 11 14 9.5 18.5 13 21
"Geospiza fortis fortis" 128 66 39 8.5 11.5 8.5 15.7 10.5 20
"Geospiza fortis fortis" 127 68.5 44 9 14 8.3 17 11 22
"Geospiza fortis fortis" 118 67 38.5 8.7 12 8.5 16.7 11.5 20.7
"Geospiza fortis fortis" 125 70 42 11 14 10 19 12.3 23
"Geospiza fortis fortis" 128 72 49 10 13 9 18.5 12.5 20.5
"Geospiza fortis fortis" 127 68 49 9.3 12.3 8.7 17 11.7 21.5
"Geospiza fortis fortis" 131 65 40 9 12 8.5 16 11 20
"Geospiza fortis fortis" 120 64 34 9 11 8 16 11 21
"Geospiza fortis fortis" 118 65 38.5 8.5 11.3 8.5 16.5 11 20
"Geospiza fortis fortis" 120 66 40 8.3 11.5 8.5 15 10 19.5
"Geospiza fortis platyrhyncha" 151 77.5 46.5 12.5 16 10.5 19 13 22
"Geospiza fortis platyrhyncha" 148 76 44 12.5 15 9.5 18 13 23
"Geospiza fortis platyrhyncha" 147 75 46 12 16 9 18.5 13 22
"Geospiza fortis platyrhyncha" 142 74.5 43.5 12 15 9.7 18.5 13 22
"Geospiza fortis platyrhyncha" 125 73 47 11 14.5 10 19 12.5 22
"Geospiza fortis platyrhyncha" 137 74 48 11 15.5 10 17.5 13 21.5
"Geospiza fortis platyrhyncha" 146 74 47 10.3 15.5 10 18.5 12.5 21.7
"Geospiza fortis platyrhyncha" 130 68.5 38 10 13.5 9.5 17 12.5 21.5
"Geospiza fortis platyrhyncha" 136 73 45 9 12.3 8.3 16.7 10.7 21.5
"Geospiza fortis platyrhyncha" 136 69 42 8 11.5 8 16 10.7 21
"Geospiza fortis platyrhyncha" 140 72 41.5 9.5 12.5 9 17 11.5 21.5
